"ParticipantID";"Phase";"PositionPointerX";"PositionPointerY";"PositionPointerZ";"OrientationPointerX";"OrientationPointerY";"OrientationPointerZ";"OrientationPointerW";"ElapsedTime";"Timestamp";"Direction1";"Direction2";"Direction3";"Method";"Model";"Gender";"StereoTest";"Sample";"TargetDistance";"Angle";"Precision";"TargetDistanceScaled"
"15";5;194.714;931.282;110.229;-0.880059;-0.0843118;-0.429431;0.184329;58072;"2019-09-16T14:24:34";-0.72476666;-0.396852799;0.563223885;"HMD";"L";"W";10;0;812.54522286514;57.882331968971;"uncertain";0.387649015293754
"15";6;757.818;147.015;148.202;0.000709554;-0.710231;-0.254826;0.656228;13683;"2019-09-16T14:25:25";0.932508512;-0.361039371;0.008857098;"HMD";"L";"W";10;1;665.945200616146;32.8229461784221;"uncertain";-0.144659422986504
"15";6;674.858;157.616;617.053;-0.156932;-0.798367;-0.122197;0.568375;20712;"2019-09-16T14:25:32";0.869190651;-0.373508643;0.324035347;"HMD";"L";"W";10;1;776.543376675199;67.6069790599989;"miss";0.256925389017461
"15";6;893.026;942.497;127.773;0.0448762;-0.744738;0.0032983;0.665838;26837;"2019-09-16T14:25:38";0.991454005;0.064673318;0.113297477;"HMD";"L";"W";10;1;1143.51036816105;41.9410461866536;"uncertain";1.58939194080599
"15";6;140.075;593.875;873.406;0.145229;-0.868693;0.121597;0.457706;32660;"2019-09-16T14:25:44";0.759893476;0.344205431;0.551438596;"HMD";"L";"W";10;1;903.067444038616;55.4874972448795;"uncertain";0.716337520542901
"15";6;167.903;877.573;167.423;-0.138619;-0.470216;-0.339676;0.802684;54346;"2019-09-16T14:26:06";0.660698821;-0.541976848;-0.519363229;"HMD";"L";"W";10;1;758.895333568351;59.1490149622578;"uncertain";0.192844892160831
"15";6;213.838;560.882;155;0.285605;-0.267859;0.708675;0.586908;62010;"2019-09-16T14:26:14";-0.090385074;0.714897732;-0.693362654;"HMD";"L";"W";10;1;455.040709396532;42.9781769821073;"uncertain";-0.910459036282101
"15";6;238.004;109.047;161.498;-0.378408;-0.157652;-0.878204;0.246394;67833;"2019-09-16T14:26:19";-0.58695039;-0.463376602;-0.663906141;"HMD";"L";"W";10;1;156.4816501687;40.7024618027208;"uncertain";-1.99453463268319
"15";6;195.791;949.105;111.588;0.851203;0.284869;0.22236;0.380605;89033;"2019-09-16T14:26:40";-0.595391516;0.521256757;0.611392129;"HMD";"L";"W";10;1;830.377066764563;61.6781171788281;"miss";0.452396897539211
"15";6;223.639;118.366;129.636;0.65774;0.383989;0.624458;0.173154;95751;"2019-09-16T14:26:47";-0.954440891;-0.251789492;0.160139429;"HMD";"L";"W";10;1;132.746869269823;17.4858861364524;"hit";-2.0807162304714
"15";6;205.771;155.846;151.018;-0.366303;-0.34281;-0.818664;0.27945;105444;"2019-09-16T14:26:57";-0.4081618;-0.766019441;-0.496606647;"HMD";"L";"W";10;1;125.703102906887;43.1807062222427;"uncertain";-2.10629232667347
"21";5;714.766;161.336;564.919;0.0258191;0.833195;0.0771325;-0.546964;4390;"2019-10-18T13:52:46";0.907472743;-0.15677713;0.38976166;"HMD";"L";"M";8;0;774.829950808666;47.8837865542615;"uncertain";0.25070389577939
"21";5;142.408;612.439;810.659;-0.0722061;0.810193;-0.316574;-0.488011;15953;"2019-10-18T13:52:57";0.745048857;0.583446673;0.323252503;"HMD";"L";"M";8;0;860.669781226028;39.9502465406882;"uncertain";0.562390520179082
"21";5;195.648;923.497;112.881;0.87704;-0.406698;0.176588;0.184972;35009;"2019-10-18T13:53:16";-0.159293932;0.468091477;0.869204126;"HMD";"L";"M";8;0;804.967449888838;48.6409058025259;"uncertain";0.360133927391473
"21";6;738.384;145.317;142.305;0.215319;0.680257;0.0116184;-0.700538;14731;"2019-10-18T13:53:36";0.948088115;-0.317485173;0.018223375;"HMD";"L";"M";8;1;646.126972087298;29.104751603315;"hit";-0.216619918734281
"21";6;720.507;161.541;559.504;0.222689;0.838857;0.0251215;-0.496082;25418;"2019-10-18T13:53:47";0.821095237;-0.263090728;0.506543069;"HMD";"L";"M";8;1;776.251080737386;56.630343320512;"uncertain";0.255864054975447
"21";6;888.635;915.068;119.574;0.0836554;0.721411;-0.169612;-0.666183;35022;"2019-10-18T13:53:57";0.989561332;0.133260304;0.054864033;"HMD";"L";"M";8;1;1120.79702901143;37.6387081098748;"uncertain";1.50691922418985
"21";6;142.092;607.443;82.618;-0.173861;0.83326;-0.248335;-0.462364;44120;"2019-10-18T13:54:06";0.684186889;0.574629025;0.449098858;"HMD";"L";"M";8;1;485.219295062263;54.603980617363;"uncertain";-0.80087981822477
"21";6;162.694;872.157;164.202;-0.0733882;0.602201;-0.194066;-0.770913;69293;"2019-10-18T13:54:31";0.900004546;0.346885196;-0.263936504;"HMD";"L";"M";8;1;752.761703710729;63.6537096797034;"miss";0.170573524937198
"21";6;209.765;536.764;154.562;-0.450068;0.462197;-0.561679;-0.518006;79353;"2019-10-18T13:54:41";-0.026745829;0.985487771;-0.167626112;"HMD";"L";"M";8;1;430.830293065819;40.9647184782527;"uncertain";-0.998367678514284
"21";6;233.811;107.283;165.186;-0.354311;0.174433;-0.910539;-0.12229;95123;"2019-10-18T13:54:56";-0.602565583;0.404313778;-0.68807346;"HMD";"L";"M";8;1;154.271366674569;58.7885374133509;"uncertain";-2.00256022870199
"21";6;195.079;941.443;112.152;0.901775;-0.308459;0.202178;0.225341;104876;"2019-10-18T13:55:06";-0.2256213;0.531141212;0.81669091;"HMD";"L";"M";8;1;822.692207121035;49.8963759956354;"uncertain";0.424492975203499
"21";6;223.829;115.246;134.622;-0.780295;0.0215205;-0.609632;0.137935;111853;"2019-10-18T13:55:13";-0.957321833;-0.189020686;0.218646035;"HMD";"L";"M";8;1;134.214828579332;15.3634573496703;"hit";-2.07538603259342
"21";6;204.371;154.118;154.462;-0.421485;-0.374616;-0.417674;0.712434;120097;"2019-10-18T13:55:21";0.181691603;-0.913494734;-0.36402683;"HMD";"L";"M";8;1;125.416103317634;70.913131685738;"miss";-2.10733442953811
"22";7;66.606;159.031;636.687;0.0484121;0.833273;0.0486515;-0.548585;69544;"2019-10-16T12:06:26";0.909531409;-0.134196254;0.393375116;"DT";"L";"W";9;0;535.506773714376;78.3002523194708;"miss";-0.61828469432436
"22";7;140.703;582.341;896.413;-0.316106;0.803589;-0.14726;-0.482324;102001;"2019-10-16T12:06:58";0.682080824;0.541603927;0.491356221;"DT";"L";"W";9;0;916.999972906226;41.0359308717297;"uncertain";0.766926889964794
"22";7;193.832;931.666;112.498;-0.787398;0.487121;-0.351954;-0.137278;134722;"2019-10-16T12:07:30";-0.420514033;0.55907358;0.714566079;"DT";"L";"W";9;0;812.840676680873;55.3167483622867;"uncertain";0.388721815671436
"22";8;763.976;146.979;148.557;0.10111;0.607867;0.0484536;-0.786083;26678;"2019-10-16T12:08:23";0.945869774;-0.217868446;-0.240548771;"DT";"L";"W";9;1;672.10859483076;22.1614507591424;"hit";-0.122279980619746
"22";8;670.498;157.616;625.201;0.0249365;0.843518;0.0286374;-0.535757;108410;"2019-10-16T12:09:44";0.902413015;-0.075032125;0.424288735;"DT";"L";"W";9;1;778.727037141796;47.4138639516493;"uncertain";0.264854316140912
"22";8;897.775;936.409;129.136;-0.12992;0.66175;-0.0958496;-0.732134;124272;"2019-10-16T12:10:00";0.944074158;0.317094768;-0.090415106;"DT";"L";"W";9;1;1142.53373015436;30.9033364082726;"uncertain";1.58584574317157
"22";8;140.085;581.168;901.596;-0.360179;0.764186;-0.223508;-0.486144;162993;"2019-10-16T12:10:38";0.582002537;0.691800418;0.427416925;"DT";"L";"W";9;1;920.875581730311;31.3780439930108;"uncertain";0.780999324940486
"22";8;166.839;915.234;167.047;-0.0243454;0.409905;-0.681777;-0.605446;213375;"2019-10-16T12:11:28";0.463154629;0.588407521;-0.662770231;"DT";"L";"W";9;1;796.125638440114;44.9594277095539;"uncertain";0.328029083397351
"22";8;213.125;560.158;156.049;-0.430506;0.335666;-0.731121;-0.409212;244692;"2019-10-16T12:11:59";-0.354787037;0.843161823;-0.403985517;"DT";"L";"W";9;1;454.28086767589;49.2005139483722;"uncertain";-0.9132180410452
"22";8;238.672;110.352;160.265;-0.358428;0.133213;-0.882348;0.274309;281777;"2019-10-16T12:12:36";-0.70559968;0.038440405;-0.707567259;"DT";"L";"W";9;1;156.514161825055;24.7345755689864;"hit";-1.99441658202566
"22";8;193.191;93.562;112.298;-0.742088;0.411265;-0.523631;-0.0773105;303997;"2019-10-16T12:12:58";-0.713570473;0.545444684;0.439667234;"DT";"L";"W";9;1;104.705906217459;41.0110074263785;"uncertain";-2.18253368603035
"22";8;223.578;116.191;129.682;-0.644866;0.171003;-0.729194;0.152258;331479;"2019-10-16T12:13:25";-0.992537418;0.053016678;-0.109812141;"DT";"L";"W";9;1;132.823997282417;14.6884657288499;"hit";-2.08043617668081
